Date,Open,High,Low,Close,Volume
22-Aug-17,105.33,105.66,105.12,105.41,427199
21-Aug-17,104.78,105.03,104.35,104.93,396280
18-Aug-17,104.77,105.12,104.49,104.82,488272
17-Aug-17,105.56,105.66,104.53,104.55,377776
16-Aug-17,105.75,106.34,105.70,106.16,520586
15-Aug-17,105.66,106.16,105.30,105.89,533634
14-Aug-17,105.81,106.19,105.68,105.70,653689
11-Aug-17,104.35,104.69,103.93,104.46,573711
10-Aug-17,104.68,104.84,103.77,103.81,783948
9-Aug-17,105.25,105.89,105.15,105.69,562497
8-Aug-17,106.96,107.17,106.22,106.40,671598
7-Aug-17,106.75,106.90,106.42,106.60,465837
4-Aug-17,107.74,107.95,107.18,107.36,515166
3-Aug-17,107.23,107.55,106.86,107.17,858566
2-Aug-17,106.89,106.95,105.81,106.34,573519
1-Aug-17,106.68,107.19,106.53,107.06,1088874
31-Jul-17,-,105.90,-,105.85,595289
28-Jul-17,105.76,106.44,105.60,106.06,858897
27-Jul-17,105.76,105.97,104.00,105.08,732848
26-Jul-17,104.37,105.40,104.27,105.26,711273
25-Jul-17,104.31,104.46,103.71,103.87,810705
24-Jul-17,103.55,103.92,103.09,103.69,1592963
21-Jul-17,103.76,104.31,103.29,104.28,1320387
20-Jul-17,104.92,106.14,104.91,105.82,1186440
19-Jul-17,105.50,105.62,105.16,105.54,899923
18-Jul-17,103.88,104.54,103.87,104.42,925013
17-Jul-17,104.29,104.84,104.19,104.81,584503
14-Jul-17,104.33,104.95,104.28,104.88,573905
13-Jul-17,104.81,105.02,104.01,104.15,478252
12-Jul-17,104.05,105.06,103.89,104.84,639408
11-Jul-17,103.20,104.11,103.20,103.93,479041
10-Jul-17,103.94,104.43,103.88,104.27,633543
7-Jul-17,102.15,103.51,102.08,103.25,708444
6-Jul-17,101.80,103.17,101.71,102.67,973671
5-Jul-17,102.71,103.73,102.56,103.62,708203
3-Jul-17,103.85,104.11,103.05,103.08,548173
30-Jun-17,104.86,105.06,104.17,104.67,771870
29-Jun-17,105.40,105.45,103.24,103.88,1057401
28-Jun-17,106.12,106.97,105.77,106.90,671973
27-Jun-17,107.13,107.21,106.05,106.18,552791
26-Jun-17,107.77,107.97,107.00,107.05,568891
23-Jun-17,106.71,107.60,106.58,107.48,596634
22-Jun-17,107.14,107.43,106.65,107.06,753890
21-Jun-17,105.62,106.31,105.44,106.30,834682
20-Jun-17,106.12,106.24,105.32,105.53,626926
19-Jun-17,106.37,106.69,106.26,106.62,456873
16-Jun-17,104.84,105.82,104.67,105.79,862911
15-Jun-17,103.58,104.34,103.24,104.21,813603
14-Jun-17,106.87,107.03,104.60,105.39,790128
13-Jun-17,105.32,105.49,104.65,104.98,780542
12-Jun-17,103.87,104.04,102.90,103.58,1408501
9-Jun-17,107.53,107.61,105.46,106.06,776712
8-Jun-17,107.60,107.73,106.95,107.53,558890
7-Jun-17,107.67,107.89,106.90,107.48,667804
6-Jun-17,107.14,107.83,107.11,107.64,1026499
5-Jun-17,108.04,108.48,107.91,108.24,334514
2-Jun-17,108.36,108.72,108.14,108.60,685502
1-Jun-17,107.05,107.29,106.77,107.12,587533
